            Australian Bureau of Statistics,,,,,,,,,
"6333.0 Characteristics of Employment, Australia, August 2021",,,,,,,,,
Released at 11:30 am (Canberra time) Tue 14 Dec 2021,,,,,,,,,
"Table 1a.1 Median weekly earnings for employees by sex, state and full-time or part-time, 2004-2021",,,,,,,,,
,New South Wales,Victoria,Queensland,South Australia,Western Australia,Tasmania,Northern Territory,Australian Capital Territory ,Australia
,$,$,$,$,$,$,$,$,$
                                                                                                                                                                   PERSONS                                                                                                                                                                       ,,,,,,,,,
Full-time in main job,,,,,,,,,
2015," 1,140.0 "," 1,100.0 "," 1,100.0 "," 1,123.8 "," 1,178.4 "," 1,054.1 "," 1,200.0 "," 1,440.8 "," 1,127.0 "
2016," 1,157.7 "," 1,139.9 "," 1,100.0 "," 1,100.0 "," 1,228.1 "," 1,062.6 "," 1,244.2 "," 1,370.1 "," 1,150.0 "
2017," 1,200.0 "," 1,178.0 "," 1,150.0 "," 1,100.0 "," 1,250.0 "," 1,100.0 "," 1,250.0 "," 1,435.4 "," 1,190.0 "
2018," 1,250.0 "," 1,200.0 "," 1,190.6 "," 1,163.1 "," 1,250.3 "," 1,150.0 "," 1,250.6 "," 1,500.0 "," 1,237.5 "
2019," 1,279.4 "," 1,250.0 "," 1,200.0 "," 1,150.0 "," 1,300.0 "," 1,204.7 "," 1,352.9 "," 1,471.9 "," 1,250.0 "
2020," 1,347.8 "," 1,344.4 "," 1,279.3 "," 1,216.0 "," 1,442.0 "," 1,245.4 "," 1,347.7 "," 1,557.5 "," 1,342.0 "
2021," 1,406.5 "," 1,394.9 "," 1,250.3 "," 1,288.6 "," 1,400.0 "," 1,250.0 "," 1,500.7 "," 1,604.8 "," 1,380.0 "
Part-time in main job,,,,,,,,,
2004, 332.0 , 300.0 , 316.0 , 304.0 , 287.3 , 309.0 , 400.0 , 350.0 , 315.0 
2005, 320.0 , 320.0 , 340.0 , 335.0 , 324.0 , 320.0 , 315.0 , 340.0 , 325.0 
2006, 350.0 , 320.0 , 350.0 , 330.0 , 311.7 , 345.0 , 396.7 , 351.5 , 340.0 
2007, 368.6 , 351.0 , 360.0 , 350.0 , 360.0 , 368.4 , 380.0 , 350.0 , 360.0 
2008, 399.9 , 375.0 , 375.0 , 390.0 , 359.0 , 390.5 , 350.0 , 361.0 , 380.0 
